Template,Section #,Section Name,Item #,Item Name,Item Key,Photo Required,Notes Required
Air-Cooled Porsche,1,Exterior & Body,1,Paint Condition,paint_condition,TRUE,FALSE
Air-Cooled Porsche,1,Exterior & Body,2,Rust,rust,TRUE,FALSE
Air-Cooled Porsche,1,Exterior & Body,3,Panel Fit & Alignment,panel_fit,TRUE,FALSE
Air-Cooled Porsche,1,Exterior & Body,4,Glass,glass,FALSE,FALSE
Air-Cooled Porsche,1,Exterior & Body,5,Trim & Brightwork,trim,FALSE,FALSE
Air-Cooled Porsche,1,Exterior & Body,6,Door Fit,door_fit,FALSE,FALSE
Air-Cooled Porsche,2,Undercarriage & Chassis,1,Floor Pans,floor_pans,TRUE,TRUE
Air-Cooled Porsche,2,Undercarriage & Chassis,2,Chassis Rails,chassis_rails,TRUE,FALSE
Air-Cooled Porsche,2,Undercarriage & Chassis,3,Torsion Bar Tubes,torsion_bar_tubes,TRUE,FALSE
Air-Cooled Porsche,2,Undercarriage & Chassis,4,Heat Exchanger Condition,heat_exchangers,TRUE,TRUE
Air-Cooled Porsche,2,Undercarriage & Chassis,5,Undercarriage Leaks,undercarriage_leaks,FALSE,FALSE
Air-Cooled Porsche,2,Undercarriage & Chassis,6,Jack Points,jack_points,FALSE,FALSE
Air-Cooled Porsche,3,Engine Bay,1,Tin Ware Completeness,tin_ware,TRUE,FALSE
Air-Cooled Porsche,3,Engine Bay,2,Fan Shroud,fan_shroud,TRUE,FALSE
Air-Cooled Porsche,3,Engine Bay,3,Oil Leaks,oil_leaks,TRUE,FALSE
Air-Cooled Porsche,3,Engine Bay,4,Wiring Condition,bay_wiring,FALSE,FALSE
Air-Cooled Porsche,3,Engine Bay,5,Hoses & Clamps,bay_hoses,FALSE,FALSE
Air-Cooled Porsche,4,Air-Cooled Engine,1,Fan Belt,fan_belt,FALSE,FALSE
Air-Cooled Porsche,4,Air-Cooled Engine,2,Oil Cooler,oil_cooler,FALSE,FALSE
Air-Cooled Porsche,4,Air-Cooled Engine,3,Compression,compression,FALSE,TRUE
Air-Cooled Porsche,4,Air-Cooled Engine,4,Engine Noise,engine_noise,FALSE,TRUE
Air-Cooled Porsche,4,Air-Cooled Engine,5,Cold Start Behavior,cold_start,FALSE,TRUE
Air-Cooled Porsche,4,Air-Cooled Engine,6,Oil Consumption,oil_consumption,FALSE,TRUE
Air-Cooled Porsche,4,Air-Cooled Engine,7,Cooling Effectiveness,cooling,FALSE,FALSE
Air-Cooled Porsche,5,Fuel System,1,Carbs / Fuel Injection,carbs_injection,FALSE,FALSE
Air-Cooled Porsche,5,Fuel System,2,Fuel Delivery,fuel_delivery,FALSE,FALSE
Air-Cooled Porsche,5,Fuel System,3,Fuel Lines,fuel_lines,FALSE,FALSE
Air-Cooled Porsche,5,Fuel System,4,Filter,fuel_filter,FALSE,FALSE
Air-Cooled Porsche,6,Transmission,1,Shift Quality,shift_quality,FALSE,FALSE
Air-Cooled Porsche,6,Transmission,2,Synchros,synchros,FALSE,TRUE
Air-Cooled Porsche,6,Transmission,3,Engagement,engagement,FALSE,FALSE
Air-Cooled Porsche,6,Transmission,4,Fluid,trans_fluid,FALSE,FALSE
Air-Cooled Porsche,6,Transmission,5,Leaks,trans_leaks,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,1,Torsion Bars,torsion_bars,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,2,Front Suspension,front_susp,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,3,Ball Joints,ball_joints,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,4,Wheel Bearings,wheel_bearings,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,5,Ride Height,ride_height,FALSE,FALSE
Air-Cooled Porsche,7,Suspension,6,Alignment,alignment,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,1,Pads,pads,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,2,Rotors,rotors,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,3,Calipers,calipers,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,4,Lines,brake_lines,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,5,Master Cylinder,master_cylinder,FALSE,FALSE
Air-Cooled Porsche,8,Brakes,6,Emergency Brake,emergency_brake,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,1,Battery,battery,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,2,Charging System,charging,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,3,Gauges & Instruments,gauges,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,4,Interior Electronics,interior_electrics,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,5,Lights,lights,FALSE,FALSE
Air-Cooled Porsche,9,Electrical,6,Wiring Condition,wiring,FALSE,FALSE
Air-Cooled Porsche,10,Test Drive,1,Cold Idle,cold_idle,FALSE,TRUE
Air-Cooled Porsche,10,Test Drive,2,Warm Idle,warm_idle,FALSE,FALSE
Air-Cooled Porsche,10,Test Drive,3,Acceleration,acceleration,FALSE,FALSE
